mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
3	3	0	0	3/4	2	1		e.V64(+6){	e	i		V64(+6)	V		64	+6			{	M	1	1	2, 1, 5	-3	1	2
4	4	0	0	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/4	1/4	3/4	2	1		V6(6)	e	i		V6(6)	V		6	6				M	1	1	5, -3, 1		1	5
4	4	1/2	1/2	3/4	2	1		V(6)	e	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
5	5	0	0	3/4	2	1		VIM7|DC	e	i		VIM7	VI	M	7			DC		MM7	1	1	-4, 0, -3, 1		-4	-4
7	7	0	0	3/4	2	1		V64(+6)	e	i		V64(+6)	V		64	+6				M	1	1	2, 1, 5	-3	1	2
8	8	0	0	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
8	8	1/4	1/4	3/4	2	1		V6(6)	e	i		V6(6)	V		6	6				M	1	1	5, -3, 1		1	5
8	8	5/8	5/8	3/4	2	1		V(6)	e	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
9	9	0	0	3/4	2	1		VIM7|DC	e	i		VIM7	VI	M	7			DC		MM7	1	1	-4, 0, -3, 1		-4	-4
11	11	0	0	3/4	2	1		V64(+6)	e	i		V64(+6)	V		64	+6				M	1	1	2, 1, 5	-3	1	2
12	12	0	0	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
12	12	1/4	1/4	3/4	2	1		VIM43	e	i		VIM43	VI	M	43					MM7	1	1	-3, 1, -4, 0		-4	-3
12	12	5/8	5/8	3/4	2	1		ii%43/V	e	i		ii%43/V	ii	%	43		V			%7	1	1	-3, 1, 3, 0		3	-3
13	13	0	0	3/4	2	1		V6(6)	e	i		V6(6)	V		6	6				M	1	1	5, -3, 1		1	5
14	14	0	0	3/4	2	1		i|IAC}	e	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
15	15	0	0	3/4	2	1		V2/VI{	e	i		V2/VI	V		2		VI		{	Mm7	1	1	-5, -3, 1, -2		-3	-5
16	16	1/4	1/4	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
16	16	1/2	1/2	3/4	2	1		iio/bII	e	i		iio/bII	ii	o			bII			o	1	1	-3, -6, -9		-3	-3
17	17	0	0	3/4	2	1		bIII+/VI	e	i		bIII+/VI	bIII	+			VI			+	1	1	-7, -3, 1		-7	-7
18	18	0	0	3/4	2	1		VII(64)	e	i		VII(64)	VII			64				M	1	1	-2, -3, 1		-2	-2
18	18	1/2	1/2	3/4	2	1		i|IAC}	e	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
19	19	0	0	3/4	2	1		V64(+6){	e	i		V64(+6)	V		64	+6			{	M	1	1	2, 1, 5	-3	1	2
20	20	0	0	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
20	20	1/4	1/4	3/4	2	1		V6(6)	e	i		V6(6)	V		6	6				M	1	1	5, -3, 1		1	5
20	20	5/8	5/8	3/4	2	1		V(6)	e	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
21	21	0	0	3/4	2	1		V64(+6)	e	i		V64(+6)	V		64	+6				M	1	1	2, 1, 5	-3	1	2
22	22	0	0	3/4	2	1		i	e	i		i	i							m	1	1	0, -3, 1		0	0
22	22	1/4	1/4	3/4	2	1		V6(6)	e	i		V6(6)	V		6	6				M	1	1	5, -3, 1		1	5
22	22	1/2	1/2	3/4	2	1		iv7(9)	e	i		iv7(9)	iv		7	9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
22	22	5/8	5/8	3/4	2	1		V(6)	e	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
23	23	0	0	3/4	2	1		VIM7|DC}	e	i		VIM7	VI	M	7			DC	}	MM7	1	1	-4, 0, -3, 1		-4	-4
